Day,IOT
28/01/2023,33
29/01/2023,38
30/01/2023,57
31/01/2023,53
01/02/2023,53
02/02/2023,59
03/02/2023,59
04/02/2023,39
05/02/2023,45
06/02/2023,67
07/02/2023,75
08/02/2023,71
09/02/2023,71
10/02/2023,60
11/02/2023,44
12/02/2023,42
13/02/2023,62
14/02/2023,65
15/02/2023,57
16/02/2023,55
17/02/2023,56
18/02/2023,41
19/02/2023,46
20/02/2023,57
21/02/2023,65
22/02/2023,59
23/02/2023,64
24/02/2023,58
25/02/2023,40
26/02/2023,40
27/02/2023,79
28/02/2023,70
01/03/2023,66
02/03/2023,61
03/03/2023,52
04/03/2023,41
05/03/2023,45
06/03/2023,61
07/03/2023,64
08/03/2023,66
09/03/2023,65
10/03/2023,58
11/03/2023,43
12/03/2023,49
13/03/2023,65
14/03/2023,67
15/03/2023,82
16/03/2023,81
17/03/2023,68
18/03/2023,48
19/03/2023,61
20/03/2023,100
21/03/2023,89
22/03/2023,91
23/03/2023,88
24/03/2023,76
25/03/2023,52
26/03/2023,61
27/03/2023,79
28/03/2023,79
29/03/2023,86
30/03/2023,88
31/03/2023,85
01/04/2023,59
02/04/2023,60
03/04/2023,72
04/04/2023,71
05/04/2023,65
06/04/2023,62
07/04/2023,52
08/04/2023,49
09/04/2023,51
10/04/2023,60
11/04/2023,64
12/04/2023,67
13/04/2023,68
14/04/2023,63
15/04/2023,45
16/04/2023,53
17/04/2023,77
18/04/2023,82
19/04/2023,83
20/04/2023,83
21/04/2023,71
22/04/2023,51
23/04/2023,57
24/04/2023,80
